Time	Longitude	Latitude	Temperature (¡ãC)	Chlorophyll a (mg m-3)	Salinity	¡÷O2/Ar (%)	k (m d-1)	NCP (mmol C m-2 d-1)		
2017/8/3 0:05	115.70 	16.54 	28.30 	0.15 	33.47 	2.5 	5.1 	18.9 		
2017/8/3 0:10	115.71 	16.53 	28.31 	0.16 	33.46 	2.5 	5.1 	18.5 		
2017/8/3 0:15	115.71 	16.52 	28.34 	0.16 	33.44 	2.5 	5.1 	18.8 		
2017/8/3 0:20	115.72 	16.51 	28.35 	0.16 	33.41 	2.7 	5.1 	20.5 		
2017/8/3 0:25	115.73 	16.50 	28.36 	0.15 	33.37 	2.7 	5.1 	19.9 		
2017/8/3 0:30	115.74 	16.48 	28.40 	0.16 	33.33 	2.7 	5.1 	20.5 		
2017/8/3 0:35	115.75 	16.47 	28.43 	0.16 	33.27 	2.7 	5.1 	19.9 		
2017/8/3 0:40	115.76 	16.46 	28.43 	0.15 	33.23 	2.7 	5.1 	20.5 		
2017/8/3 0:45	115.76 	16.45 	28.43 	0.15 	33.19 	2.8 	5.1 	20.8 		
2017/8/3 0:50	115.77 	16.44 	28.44 	0.15 	33.17 	2.7 	5.1 	20.2 		
2017/8/3 0:55	115.78 	16.43 	28.46 	0.15 	33.16 	2.6 	5.1 	19.3 		
2017/8/3 1:00	115.79 	16.42 	28.50 	0.16 	33.17 	2.7 	5.1 	20.0 		
2017/8/3 1:05	115.79 	16.41 	28.52 	0.15 	33.18 	2.7 	5.1 	20.3 		
2017/8/3 5:00	115.84 	16.46 	28.46 	0.14 	33.16 	2.2 	5.1 	16.2 		
2017/8/3 5:05	115.84 	16.46 	28.47 	0.15 	33.17 	2.1 	5.1 	15.9 		
2017/8/3 5:10	115.83 	16.45 	28.48 	0.14 	33.17 	2.2 	5.1 	16.3 		
2017/8/3 5:15	115.82 	16.44 	28.49 	0.14 	33.17 	2.1 	5.1 	15.5 		
2017/8/3 5:20	115.81 	16.43 	28.51 	0.15 	33.17 	2.1 	5.1 	15.4 		
