Time	Longitude	Latitude	Temperature (¡ãC)	Chlorophyll a (mg m-3)	Salinity	¡÷O2/Ar (%)	k (m d-1)	NCP (mmol C m-2 d-1)		
2017/7/20 5:30	118.01 	20.92 	29.95 	0.08 	33.80 	0.9 	1.8 	2.2 		
2017/7/20 5:35	118.00 	20.93 	29.93 	0.07 	33.83 	1.0 	1.8 	2.5 		
2017/7/20 5:40	117.99 	20.93 	29.90 	0.06 	33.85 	1.2 	1.8 	3.1 		
2017/7/20 5:45	117.97 	20.94 	29.88 	0.07 	33.87 	1.3 	1.8 	3.4 		
2017/7/20 5:50	117.96 	20.94 	29.88 	0.07 	33.87 	1.3 	1.8 	3.5 		
2017/7/20 5:55	117.95 	20.95 	29.87 	0.07 	33.88 	1.3 	1.8 	3.4 		
2017/7/20 6:00	117.94 	20.95 	29.87 	0.07 	33.90 	1.1 	1.8 	2.9 		
2017/7/20 6:05	117.92 	20.96 	29.88 	0.08 	33.92 	1.0 	1.8 	2.7 		
2017/7/20 6:10	117.91 	20.97 	29.89 	0.07 	33.94 	1.0 	1.8 	2.5 		
2017/7/20 6:15	117.90 	20.97 	29.88 	0.08 	33.94 	1.0 	1.8 	2.7 		
2017/7/20 6:20	117.88 	20.98 	29.90 	0.08 	33.95 	0.9 	1.8 	2.4 		
2017/7/20 6:25	117.87 	20.98 	29.96 	0.09 	33.94 	0.8 	1.8 	2.1 		
2017/7/20 6:30	117.86 	20.99 	30.01 	0.09 	33.91 	0.8 	1.8 	1.9 		
2017/7/20 6:35	117.85 	20.99 	30.04 	0.08 	33.88 	0.7 	1.8 	1.9 		
2017/7/20 6:40	117.83 	21.00 	30.06 	0.07 	33.86 	0.7 	1.8 	1.9 		
2017/7/20 6:45	117.82 	21.00 	30.07 	0.07 	33.85 	0.8 	1.8 	2.0 		
2017/7/20 6:50	117.81 	21.01 	30.06 	0.07 	33.85 	0.8 	1.8 	2.1 		
2017/7/20 6:55	117.80 	21.01 	30.06 	0.07 	33.85 	0.8 	1.8 	2.1 		
2017/7/20 7:00	117.78 	21.02 	30.05 	0.06 	33.85 	0.9 	1.8 	2.3 		
2017/7/20 7:05	117.77 	21.03 	30.03 	0.06 	33.84 	0.9 	1.8 	2.3 		
2017/7/20 7:10	117.76 	21.03 	30.02 	0.07 	33.83 	0.8 	1.8 	2.2 		
2017/7/20 7:15	117.75 	21.04 	30.02 	0.06 	33.82 	0.8 	1.8 	2.1 		
2017/7/20 7:20	117.73 	21.05 	30.01 	0.06 	33.80 	1.0 	1.8 	2.5 		
2017/7/20 7:25	117.72 	21.05 	30.01 	0.06 	33.80 	0.9 	1.8 	2.3 		
2017/7/20 7:30	117.71 	21.06 	30.02 	0.07 	33.80 	0.9 	1.8 	2.3 		
2017/7/20 7:35	117.70 	21.06 	30.02 	0.07 	33.80 	0.9 	1.8 	2.3 		
2017/7/20 7:40	117.69 	21.07 	30.02 	0.07 	33.79 	0.8 	1.8 	2.2 		
2017/7/20 7:45	117.68 	21.08 	30.01 	0.06 	33.79 	1.0 	1.8 	2.5 		
2017/7/20 7:50	117.66 	21.08 	30.00 	0.07 	33.79 	0.9 	1.8 	2.4 		
2017/7/20 7:55	117.65 	21.09 	30.00 	0.06 	33.79 	0.9 	1.8 	2.4 		
2017/7/20 8:00	117.64 	21.10 	30.00 	0.07 	33.80 	0.8 	1.9 	2.1 		
2017/7/20 8:05	117.63 	21.10 	30.00 	0.06 	33.80 	0.9 	1.9 	2.5 		
2017/7/20 8:10	117.61 	21.11 	29.99 	0.07 	33.80 	1.0 	1.8 	2.6 		
2017/7/20 8:15	117.60 	21.11 	29.99 	0.07 	33.80 	1.0 	1.8 	2.5 		
2017/7/20 8:20	117.59 	21.12 	30.01 	0.08 	33.80 	0.8 	1.8 	2.1 		
2017/7/20 8:25	117.58 	21.13 	30.03 	0.07 	33.79 	0.9 	2.0 	2.4 		
2017/7/20 8:30	117.56 	21.13 	30.04 	0.07 	33.80 	0.9 	2.0 	2.5 		
2017/7/20 8:35	117.55 	21.14 	30.04 	0.08 	33.82 	0.9 	2.0 	2.4 		
2017/7/20 8:40	117.54 	21.15 	30.05 	0.07 	33.84 	0.8 	2.0 	2.2 		
2017/7/20 8:45	117.53 	21.15 	30.05 	0.07 	33.87 	0.7 	2.0 	2.0 		
2017/7/20 8:50	117.51 	21.16 	30.04 	0.06 	33.90 	0.8 	2.0 	2.3 		
2017/7/20 8:55	117.50 	21.17 	30.03 	0.07 	33.92 	0.8 	2.0 	2.2 		
2017/7/20 9:00	117.49 	21.17 	30.02 	0.07 	33.93 	0.8 	2.0 	2.2 		
2017/7/20 9:05	117.47 	21.18 	30.00 	0.06 	33.94 	0.8 	1.9 	2.3 		
2017/7/20 9:10	117.46 	21.19 	29.97 	0.06 	33.94 	0.7 	1.9 	1.9 		
2017/7/20 9:15	117.45 	21.20 	29.94 	0.06 	33.96 	0.8 	1.9 	2.2 		
2017/7/20 9:20	117.44 	21.20 	29.91 	0.06 	33.97 	0.7 	1.9 	2.0 		
2017/7/20 9:25	117.42 	21.21 	29.89 	0.06 	33.97 	0.7 	1.9 	2.0 		
2017/7/20 9:30	117.41 	21.22 	29.85 	0.07 	33.97 	0.7 	1.9 	1.8 		
2017/7/20 9:35	117.40 	21.22 	29.83 	0.07 	33.97 	0.6 	1.9 	1.6 		
2017/7/21 14:20	117.40 	20.07 	29.99 	0.07 	33.76 	1.3 	1.6 	3.1 		
2017/7/21 14:25	117.41 	20.06 	30.03 	0.07 	33.76 	1.4 	1.6 	3.2 		
2017/7/21 14:30	117.41 	20.05 	30.07 	0.06 	33.77 	1.4 	1.6 	3.2 		
2017/7/21 18:30	117.40 	20.12 	30.01 	0.05 	33.75 	1.5 	1.6 	3.3 		
2017/7/21 18:35	117.40 	20.11 	30.01 	0.06 	33.75 	1.4 	1.6 	3.1 		
2017/7/21 18:40	117.41 	20.10 	30.02 	0.05 	33.75 	1.3 	1.6 	2.9 		
2017/7/21 18:45	117.42 	20.09 	30.05 	0.06 	33.76 	1.3 	1.6 	2.9 		
2017/7/21 18:50	117.42 	20.08 	30.05 	0.06 	33.75 	1.5 	1.6 	3.3 		
2017/7/21 18:55	117.43 	20.07 	30.03 	0.05 	33.75 	1.5 	1.6 	3.4 		
2017/7/21 19:00	117.44 	20.06 	30.02 	0.05 	33.75 	1.3 	1.6 	3.1 		
2017/7/21 19:05	117.45 	20.05 	30.04 	0.05 	33.75 	1.3 	1.6 	3.1 		
2017/7/21 19:10	117.46 	20.04 	30.05 	0.06 	33.75 	1.4 	1.6 	3.2 		
2017/7/21 19:15	117.46 	20.03 	30.06 	0.06 	33.75 	1.4 	1.6 	3.2 		
2017/7/21 19:20	117.47 	20.02 	30.07 	0.05 	33.74 	1.4 	1.6 	3.3 		
2017/7/21 19:25	117.48 	20.01 	30.08 	0.06 	33.75 	1.5 	1.6 	3.5 		
2017/7/21 19:30	117.49 	20.00 	30.10 	0.06 	33.76 	1.4 	1.6 	3.3 		
2017/7/21 19:35	117.50 	19.99 	30.12 	0.05 	33.76 	1.5 	1.6 	3.5 		
2017/7/21 19:40	117.51 	19.99 	30.12 	0.05 	33.76 	1.5 	1.6 	3.4 		
2017/7/21 19:45	117.52 	19.98 	30.12 	0.06 	33.76 	1.5 	1.6 	3.4 		
2017/7/21 19:50	117.53 	19.97 	30.12 	0.05 	33.76 	1.5 	1.6 	3.4 		
2017/7/21 19:55	117.54 	19.96 	30.11 	0.05 	33.76 	1.5 	1.6 	3.5 		
2017/7/21 20:00	117.55 	19.95 	30.10 	0.05 	33.76 	1.5 	1.6 	3.5 		
2017/7/21 20:05	117.55 	19.94 	30.09 	0.05 	33.76 	1.5 	1.6 	3.3 		
2017/7/21 20:10	117.56 	19.93 	30.09 	0.05 	33.76 	1.4 	1.6 	3.3 		
2017/7/21 20:15	117.57 	19.92 	30.09 	0.05 	33.77 	1.5 	1.6 	3.4 		
2017/7/21 20:20	117.58 	19.91 	30.11 	0.06 	33.78 	1.4 	1.6 	3.2 		
2017/7/21 20:25	117.59 	19.90 	30.11 	0.05 	33.78 	1.4 	1.6 	3.2 		
2017/7/21 20:30	117.60 	19.89 	30.10 	0.06 	33.77 	1.4 	1.6 	3.3 		
2017/7/21 20:35	117.61 	19.88 	30.08 	0.05 	33.75 	1.5 	1.6 	3.4 		
2017/7/21 20:40	117.62 	19.87 	30.06 	0.05 	33.73 	1.5 	1.7 	3.6 		
2017/7/21 20:45	117.63 	19.86 	30.04 	0.05 	33.72 	1.5 	1.5 	3.3 		
2017/7/21 20:50	117.63 	19.85 	30.04 	0.05 	33.71 	1.6 	1.5 	3.5 		
2017/7/21 20:55	117.64 	19.84 	30.04 	0.06 	33.69 	1.4 	1.5 	3.0 		
2017/7/21 21:00	117.65 	19.83 	30.04 	0.05 	33.69 	1.5 	1.5 	3.3 		
2017/7/21 21:05	117.66 	19.82 	30.04 	0.06 	33.68 	1.4 	1.5 	3.1 		
2017/7/21 21:10	117.67 	19.81 	30.04 	0.05 	33.67 	1.5 	1.5 	3.4 		
2017/7/21 21:15	117.68 	19.81 	30.04 	0.05 	33.67 	1.6 	1.5 	3.5 		
2017/7/21 21:20	117.69 	19.80 	30.03 	0.05 	33.67 	1.6 	1.5 	3.5 		
2017/7/21 21:25	117.70 	19.79 	30.01 	0.05 	33.67 	1.6 	1.5 	3.5 		
2017/7/21 21:30	117.71 	19.78 	30.01 	0.05 	33.68 	1.6 	1.5 	3.6 		
2017/7/21 21:35	117.72 	19.77 	30.00 	0.06 	33.68 	1.7 	1.5 	3.6 		
2017/7/21 21:40	117.73 	19.76 	29.99 	0.06 	33.68 	1.7 	1.5 	3.7 		
2017/7/21 21:45	117.74 	19.75 	29.99 	0.05 	33.68 	1.6 	1.5 	3.5 		
2017/7/21 21:50	117.75 	19.74 	29.99 	0.06 	33.67 	1.7 	1.5 	3.7 		
2017/7/21 21:55	117.76 	19.73 	29.99 	0.06 	33.67 	1.6 	1.5 	3.4 		
2017/7/21 22:00	117.76 	19.72 	29.99 	0.06 	33.67 	1.5 	1.5 	3.3 		
2017/7/21 22:05	117.77 	19.72 	30.00 	0.06 	33.68 	1.5 	1.5 	3.2 		
2017/7/21 22:10	117.78 	19.71 	30.01 	0.06 	33.68 	1.6 	1.5 	3.5 		
2017/7/21 22:15	117.79 	19.70 	30.02 	0.06 	33.67 	1.6 	1.5 	3.5 		
2017/7/21 22:20	117.80 	19.69 	30.03 	0.06 	33.66 	1.5 	1.5 	3.2 		
2017/7/21 22:25	117.81 	19.68 	30.04 	0.06 	33.66 	1.6 	1.5 	3.4 		
2017/7/21 22:30	117.82 	19.67 	30.05 	0.05 	33.66 	1.6 	1.5 	3.4 		
2017/7/21 22:35	117.83 	19.66 	30.05 	0.05 	33.65 	1.6 	1.5 	3.5 		
2017/7/21 22:40	117.84 	19.65 	30.05 	0.05 	33.65 	1.5 	1.5 	3.3 		
2017/7/21 22:45	117.85 	19.64 	30.05 	0.05 	33.66 	1.5 	1.5 	3.3 		
2017/7/21 22:50	117.86 	19.63 	30.06 	0.06 	33.67 	1.5 	1.5 	3.2 		
2017/7/21 22:55	117.87 	19.62 	30.06 	0.05 	33.67 	1.5 	1.5 	3.4 		
2017/7/21 23:00	117.88 	19.61 	30.05 	0.05 	33.67 	1.5 	1.4 	2.9 		
2017/7/21 23:05	117.89 	19.60 	30.05 	0.05 	33.68 	1.5 	1.4 	3.0 		
2017/7/21 23:10	117.90 	19.59 	30.04 	0.06 	33.68 	1.5 	1.4 	3.0 		
2017/7/21 23:15	117.91 	19.58 	30.04 	0.06 	33.68 	1.5 	1.4 	2.9 		
2017/7/21 23:20	117.92 	19.58 	30.04 	0.05 	33.68 	1.5 	1.4 	3.0 		
